Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
1,P1 1,22,25,07/13/22,,1,C,2,07.08.2022,M,,
1,P1 2,8,10,07/13/22,,1,E+,2,07.08.2022,M,,
1,P1 3,0,3,07/13/22,,1,,2,07.08.2022,M,,
1,P1 4,13,15,07/13/22,,1,C,2,07.08.2022,M,,
1,P1 5,1,3,07/13/22,,1,E+,2,07.08.2022,M,,
1,P1 6,1,2,07/13/22,,1,E-,2,07.08.2022,M,,
1,P1 7,1,2,07/13/22,,1,C,2,07.08.2022,M,,
1,P1 8,22,25,07/13/22,,1,E-,2,07.08.2022,M,,
1,P1 9,7,10,07/13/22,,1,E+,2,07.08.2022,M,,
1,P1 10,3,5,07/13/22,,1,C,2,07.08.2022,M,,
1,P1 11,3,5,07/13/22,,1,E-,2,07.08.2022,M,,
1,P1 12,8,10,07/13/22,,1,E-,2,07.08.2022,M,,
1,P1 13,13,15,07/13/22,,1,C,2,07.08.2022,M,,
1,P1 14,1,3,07/13/22,,1,E+,2,07.08.2022,M,,
1,P1 15,9,10,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 1,22,25,07/13/22,,1,C,2,07.08.2022,M,,
2,P2 2,7,10,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 3,0,3,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 4,12,15,07/13/22,,1,C,2,07.08.2022,M,,
2,P2 5,1,3,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 6,1,2,07/13/22,,1,E+,2,07.08.2022,M,,
2,P2 7,0,2,07/13/22,,1,C,2,07.08.2022,M,,
2,P2 8,22,25,07/13/22,,1,E+,2,07.08.2022,M,,
2,P2 9,7,10,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 10,3,5,07/13/22,,1,C,2,07.08.2022,M,,
2,P2 11,3,5,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 12,7,10,07/13/22,,1,E-,2,07.08.2022,M,,
2,P2 13,13,15,07/13/22,,1,C,2,07.08.2022,M,,
2,P2 14,1,3,07/13/22,,1,,2,07.08.2022,M,,
2,P2 15,6,10,07/13/22,,1,E+,2,07.08.2022,M,,
3,P3 1,23,25,07/13/22,,1,C,2,07.08.2022,M,,
3,P3 2,8,10,07/13/22,,1,E-,2,07.08.2022,M,,
3,P3 3,1,3,07/13/22,,1,E-,2,07.08.2022,M,,
3,P3 4,12,15,07/13/22,,1,C,2,07.08.2022,M,,
3,P3 5,0,3,07/13/22,,1,E-,2,07.08.2022,M,,
3,P3 6,0,2,07/13/22,,1,E-,2,07.08.2022,M,,
3,P3 7,0,2,07/13/22,,1,C,2,07.08.2022,M,,
