"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a",0.184648448152,0.125435043986197,-0.038267105,0.47355115,171.335424524979,1.02887210548769
"h",-0.399877536,0.0310181773808959,-0.462012,-0.341873825,151.706787681008,1.02844049845648
"a_E_If",0.0450052867571,0.206307805591273,-0.331974375,0.494833,162.831261109717,1.02792350518129
"h_E_If",-0.03563061344485,0.0493294814897859,-0.13219205,0.0622483775,142.274437515902,1.02215412836685
"a_E_nIf",0.09754647691403,0.171506760364747,-0.274408575,0.441610475,172.849449876894,1.01873408286998
"h_E_nIf",0.00768403834568,0.0408300600354461,-0.071458265,0.0929988474999998,174.24096931781,1.01917057502677
"a_Intercept[1]",-0.000987593161295,0.0253686188739352,-0.0594140375,0.052676145,2933.07900330495,0.999858224672217
"a_Intercept[2]",0.00165823870992,0.0236439720095257,-0.0474619075,0.0569497024999998,2585.84337510723,0.999839126056341
"a_Intercept[3]",-0.000538304551445,0.0241016895080393,-0.058032195,0.0564631475,2667.48893512449,0.999299818479244
"a_Intercept[4]",0.002451930854475,0.0267994384947441,-0.04900042,0.0676834425,2846.20740030572,1.00498869100793
"a_Intercept[5]",0.00078716388175,0.0254188304107918,-0.0559078175,0.0617000325,2208.50986032664,0.999140501030527
"a_Intercept[6]",-0.00134062077553,0.0247744448037056,-0.0605783075,0.0552082849999999,3577.11206093055,1.00034714696638
"a_Intercept[7]",0.00173296756272,0.0238175947857573,-0.04986487,0.059037875,2524.4695342519,1.00175648932443
"a_Intercept[8]",-0.002288016636875,0.0251514855536061,-0.0621211975,0.0488897999999999,2036.6668469104,1.00152680374211
"a_Intercept[9]",0.00231241059373,0.0248868961239891,-0.049064315,0.0641908224999999,2748.27589570414,1.00162712245884
"a_Intercept[10]",-0.001025794614,0.0238120277896333,-0.0574953575,0.0528276225,2816.88286003582,1.00062969421761
"a_Intercept[11]",-0.001713918106039,0.025517055903276,-0.0639553475,0.0551627674999999,2993.31217878968,1.00007000051355
"a_Intercept[12]",-0.001510525434937,0.0246626846212925,-0.060778285,0.052918965,2269.08157115981,1.00149757648792
"a_Intercept[13]",-1.910751136e-05,0.0244837856580904,-0.0533653249999999,0.0553136625,3669.08979534434,0.998812510713306
"a_Intercept[14]",-0.003929809462606,0.025424441385392,-0.0681231175,0.0457566074999999,849.92934803221,1.00692096720829
"a_Intercept[15]",-0.002402887118175,0.0252287361679558,-0.0595475725,0.0477665925,2649.86401096071,1.00113212321208
"a_Intercept[16]",0.0013965358850125,0.026803660775925,-0.0564148625,0.0606425849999999,2600.53408484089,0.998902723577766
"a_Intercept[17]",-0.00123580790485,0.0256228521184965,-0.0636131,0.053034905,2185.73932513806,1.00015023206912
"a_Intercept[18]",-0.00202875266843,0.0264680791801564,-0.06453703,0.05491627,1921.53390297309,1.00133901287472
"a_Intercept[19]",-0.00113064721522,0.0234209512580197,-0.05663247,0.04715078,2903.22826122122,0.999287464384119
"a_Intercept[20]",0.0016425371525,0.0248803463938659,-0.0503086775,0.060386875,2995.4915880078,1.0028375812606
"a_Intercept[21]",-0.00086847230399,0.0273513651664182,-0.06318061,0.0585381074999999,3698.4251983818,0.999112069136193
"a_Intercept[22]",0.001234397716505,0.0241263538938981,-0.05488166,0.0552257974999998,2248.50285295151,1.0012097239442
"a_Intercept[23]",-0.00027847548566,0.0272714716973415,-0.0573562325,0.0573290249999999,3490.04576479712,0.998566616637104
"a_Intercept[24]",0.00232347435134,0.0234634551863575,-0.04488954,0.0603425349999999,2793.53367682815,1.00173691960729
"a_Intercept[25]",0.00072449950032,0.0256365169837052,-0.0518734949999999,0.0602284724999999,3881.52979734677,0.998434969634221
"a_Intercept[26]",0.00141240845470955,0.0251027683472362,-0.05013954,0.0594053249999999,3820.69458847222,1.00047200604697
"a_Intercept[27]",0.00102889211016,0.0258951755532595,-0.05804022,0.0633689499999999,3350.94944232935,1.00049430498295
"a_Intercept[28]",0.001183395900825,0.0249859714437614,-0.0543143,0.0575858624999999,3291.76704445748,0.998794274014985
